sample,random_A,random_B,random_C,random_D
70,5.252393270349772,2.3319210549587988,7.349322476268556,6.773046711459756
71,6.193758687931633,3.4695507094814833,6.292390997432398,9.672410669736564
72,7.469008410816404,1.266503503775385,6.887122229151394,5.035008618142456
73,2.424613525474628,0.4673421944091796,7.187542151903323,5.168365894351155
74,4.522485341083564,2.1645683330316756,7.012178261492517,2.938547197263688
75,3.6437900420196407,1.9378066750583283,6.306643416737497,1.647283115889877
76,3.944010804998327,0.2031657019068777,8.616794306696585,6.521224763710052
77,2.332850807241136,0.1118779297720184,7.945922259399698,3.3628914691507816
78,3.9166172560625405,0.3082777995376187,7.609591071646275,5.731827071867883
79,5.069231314330748,2.857665771396264,7.077628320348437,3.066874472424388
80,5.365487031031373,0.9943131529463061,6.819330306427083,6.325346941594034
81,5.942496958673424,0.7588035768449072,7.573930692293915,0.919861311558634
82,4.963042126580566,2.3361897549605,6.11167620505897,6.253699364606291
83,8.471229963617718,0.3503107511465111,7.878899256236575,2.256875461898744
84,5.265815385890159,0.17664974705239297,7.092464438793928,3.956078179180622
85,3.463377849879831,11.180141082162638,8.025116006040621,1.5073880227282643
86,8.412021951900638,0.8223067595172777,7.303733795189254,4.427409309428185
87,2.1664150026203854,2.5263787568752156,7.5052767658255055,5.421861477661878
88,6.640927401546007,0.4899442684099536,7.99127133060761,9.360257594380528
89,7.769250540982977,0.2726021930151677,7.941025997049439,7.651875223964453
90,5.781549010280025,2.4212801882222084,6.4347493909420495,4.015022739768028
91,2.7005568385311216,3.3222475299172776,5.944142325317733,1.3422759529203176
92,2.090952546082373,0.3102615037941276,7.191625526795487,3.9780335291288793
93,5.7303748071571325,2.1414258355795845,8.129249443063621,5.894404933787882
94,6.867855035987402,2.3871262535427493,7.386330057625404,8.620601987931877
95,4.674089860497932,0.4832395863265505,7.662134907963253,4.3734396900981665
96,3.8306103282480573,1.871276332688098,7.154444729938749,0.2200627699494362
97,5.523311749561188,0.3357317744695051,7.239243364829966,5.568856515455991
98,6.022586375023797,0.5968469722482609,8.4109917559614,4.868895309045911
99,4.20280791892749,1.0170781557307105,7.0249588829954766,2.5936352112330496
100,3.983909867789937,1.9367100614335455,7.21302471069204,4.169716977048665
